"id" "female" "race" "ses" "schtyp" "prog" "read" "write" "math" "science" "socst"
"1" 70 0 4 1 1 1 57 52 41 47 57
"2" 121 1 4 2 1 3 68 59 53 63 61
"3" 86 0 4 3 1 1 44 33 54 58 31
"4" 141 0 4 3 1 3 63 44 47 53 56
"5" 172 0 4 2 1 2 47 52 57 53 61
"6" 113 0 4 2 1 2 44 52 51 63 61
"7" 50 0 3 2 1 1 50 59 42 53 61
"8" 11 0 1 2 1 2 34 46 45 39 36
"9" 84 0 4 2 1 1 63 57 54 58 51
"10" 48 0 3 2 1 2 57 55 52 50 51
"11" 75 0 4 2 1 3 60 46 51 53 61
"12" 60 0 4 2 1 2 57 65 51 63 61
"13" 95 0 4 3 1 2 73 60 71 61 71
"14" 104 0 4 3 1 2 54 63 57 55 46
"15" 38 0 3 1 1 2 45 57 50 31 56
"16" 115 0 4 1 1 1 42 49 43 50 56
"17" 76 0 4 3 1 2 47 52 51 50 56
"18" 195 0 4 2 2 1 57 57 60 58 56
"19" 114 0 4 3 1 2 68 65 62 55 61
"20" 85 0 4 2 1 1 55 39 57 53 46
"21" 167 0 4 2 1 1 63 49 35 66 41
"22" 143 0 4 2 1 3 63 63 75 72 66
"23" 41 0 3 2 1 2 50 40 45 55 56
"24" 20 0 1 3 1 2 60 52 57 61 61
"25" 12 0 1 2 1 3 37 44 45 39 46
