Villiage,total2016,total2019,KMT2019,KMT2016,DPP2016,DPP2019
仁勇里,1208 ,471,156,409,753,221
仁勇里,1068 ,521,189,412,607,236
義信里,818 ,330,158,336,439,131
義信里,944 ,388,193,404,495,138
福林里,430 ,200,113,241,166,51
福林里,333 ,216,102,157,157,82
福林里,976 ,385,161,388,549,168
福德里,659 ,303,133,300,326,121
福德里,761 ,278,145,326,390,96
福德里,792 ,312,164,391,377,93
福德里,477 ,210,83,189,260,84
福志里,1138 ,535,310,667,430,166
福志里,1115 ,547,362,603,471,129
福志里,1109 ,493,209,459,595,219
福志里,1103 ,545,256,427,634,212
舊佳里,850 ,362,194,333,478,129
舊佳里,1049 ,360,123,499,517,189
舊佳里,942 ,329,136,351,552,156
舊佳里,765 ,485,193,290,438,226
福佳里,1027 ,501,220,439,539,190
福佳里,1224 ,587,232,437,725,257
福佳里,1093 ,322,142,475,567,122
福佳里,1279 ,656,277,530,692,284
後港里,742 ,312,109,283,427,151
後港里,1034 ,395,118,335,659,222
後港里,1051 ,417,162,404,602,194
後港里,966 ,386,126,328,607,211
後港里,810 ,338,126,294,477,160
福中里,978 ,443,139,339,607,254
福中里,959 ,466,172,313,606,241
福中里,1052 ,472,179,402,602,222
福中里,984 ,487,154,327,622,254
前港里,793 ,302,93,294,472,181
前港里,987 ,421,131,352,588,223
前港里,836 ,363,128,302,489,193
百齡里,1053 ,479,176,366,640,254
百齡里,1071 ,489,158,382,643,266
百齡里,1017 ,454,159,354,608,241
百齡里,1106 ,471,174,431,619,223
承德里,1047 ,447,229,467,541,166
承德里,1021 ,497,202,423,551,234
承德里,1184 ,353,169,563,567,137
福華里,831 ,383,139,315,461,181
福華里,707 ,311,115,242,431,162
福華里,910 ,420,160,394,465,216
福華里,1149 ,434,170,457,648,211
明勝里,886 ,383,201,361,478,137
明勝里,983 ,433,155,374,564,215
明勝里,1010 ,484,164,365,609,237
福順里,990 ,579,101,286,664,397
福順里,983 ,541,132,331,620,314
福順里,1121 ,598,157,358,711,351
富光里,959 ,536,152,274,625,285
富光里,1166 ,604,146,354,760,351
富光里,1171 ,640,145,396,736,412
葫蘆里,1093 ,579,139,281,778,345
葫蘆里,1150 ,511,224,483,630,225
葫蘆里,1098 ,505,251,546,505,175
葫蘆里,1146 ,590,141,389,720,381
葫東里,1234 ,655,159,372,804,378
葫東里,1143 ,583,164,378,717,347
社子里,886 ,395,115,277,558,220
社子里,899 ,393,122,318,534,206
社子里,998 ,488,122,267,658,297
社子里,982 ,398,123,311,622,205
社新里,1162 ,505,153,369,760,270
社新里,956 ,447,123,287,627,249
社新里,1010 ,388,103,330,650,213
社新里,1058 ,486,135,301,700,251
社新里,956 ,408,104,321,607,235
社園里,1074 ,503,131,291,737,273
社園里,979 ,408,106,282,643,253
社園里,992 ,439,103,257,703,285
社園里,1220 ,607,154,372,793,370
永倫里,1105 ,421,113,342,702,245
永倫里,860 ,355,101,238,582,205
永倫里,1210 ,554,172,365,777,308
永倫里,1127 ,480,134,313,777,287
福安里,934 ,423,49,163,740,325
福安里,929 ,480,56,155,751,378
福安里,983 ,467,45,139,801,372
富洲里,1078 ,539,66,214,830,411
富洲里,1028 ,509,46,198,785,410
富洲里,1319 ,704,111,294,969,520
岩山里,965 ,307,157,467,461,115
岩山里,1004 ,518,292,497,465,173
名山里,1134 ,523,267,521,565,196
名山里,1068 ,491,236,506,501,182
名山里,928 ,371,198,464,421,127
名山里,1071 ,472,210,458,574,194
聖山里,1012 ,454,184,433,523,207
聖山里,967 ,435,204,400,521,170
聖山里,1024 ,523,400,710,284,79
芝山里,1109 ,469,212,456,613,189
芝山里,971 ,372,205,454,471,127
芝山里,1181 ,492,249,571,559,184
芝山里,1036 ,415,211,476,524,158
東山里,1100 ,448,249,561,500,154
東山里,930 ,389,219,440,451,129
東山里,911 ,430,326,518,366,82
永福里,741 ,331,94,241,468,207
公館里,779 ,458,74,237,516,319
新安里,603 ,265,86,220,361,146
新安里,501 ,246,86,119,358,131
陽明里,614 ,291,71,187,400,186
陽明里,613 ,260,76,268,314,159
