偏統,中立,偏獨,無反應
2.4,66.1,7.7,23.8
18.6,42.2,4,35.2
20.4,51.4,11.4,16.7
19.1,46.1,11.1,23.8
22.3,41.1,12.2,24.4
21,48.5,14.1,16.4
27.8,47.1,16.1,9
22.8,50.8,17.9,9
NA,NA,NA,NA
20.5,49.9,17.4,12.2
20.3,50.5,20,9.2
18.8,53.8,18.9,8.5
13.3,58.8,17.8,10.1
20.8,52.5,16.2,10.6
26.8,51.1,9,13
23.8,55.5,13.3,7.4
26.2,52.5,15.4,6
21.5,53.5,17.9,7.1
21.6,52.9,18.8,6.8
17.6,56.6,19.2,6.6
14.9,55.9,21.6,7.7
12.8,60.2,19.6,7.4
14.1,57.7,20.7,7.5
15.7,59.3,19.8,5.2
16.2,58.4,20.1,5.2
14.9,60.9,18.5,5.7
15.9,60.7,18.6,4.8
18.2,53.3,23.1,5.4
12.9,58.2,20.8,8
11.5,59.6,20.4,8.5
10.5,59.6,25.7,4.1
10.2,63.1,21.3,5.5
10.6,63.9,19.6,5.9
12.3,61,22.8,3.8
10,64.6,21,4.4
11.1,61.3,23,4.6
10.8,63.7,19.1,6.4
10.7,64.8,19.1,5.4
11.1,62.8,19.6,6.5
12.3,59.2,23.3,5.2
11.6,61.3,21.7,5.4
10.9,60.8,22.9,5.4
